,overall_rating,value,position,skill_moves,attacking_workrate,defensive_workrate,pace,shooting,passing,dribbling,defending,physicality,crossing,finishing,Curve,freekick_accuracy,ballcontrol,sprint_speed,agility,reactions,balance,shot_power,stamina,aggression,interceptions,positioning,vision,composure,marking
0,91,54000000.0,CAM,4,Low,Low,81,89,90,94,34,64,84,90,93,93,93,76,91,92,95,86,70,44,40,93,94,96,20
1,91,64000000.0,CF,4,Medium,Medium,80,88,83,87,39,78,75,92,82,73,91,80,78,92,72,87,82,63,39,92,89,90,43
2,91,84000000.0,ST,4,High,Medium,75,91,79,86,44,83,71,94,79,85,89,75,77,93,82,91,76,81,49,94,81,88,35
3,91,107500000.0,CM,4,High,High,74,88,93,87,64,77,94,85,89,83,90,73,76,91,78,92,88,75,66,88,94,89,68
4,91,190500000.0,ST,5,High,Low,97,89,80,92,36,76,78,93,80,69,91,97,93,93,81,88,87,64,38,92,83,88,26
5,90,115500000.0,RW,4,High,Medium,90,89,82,90,45,75,80,93,84,69,88,91,90,93,91,83,87,63,55,92,85,92,38
6,90,90000000.0,GK,1,Medium,Medium,84,89,75,90,46,89,14,14,19,20,23,52,63,84,45,56,38,23,15,13,44,66,20
7,90,13500000.0,GK,1,Medium,Medium,87,88,91,88,56,91,15,13,14,11,46,60,51,87,35,68,43,29,30,12,70,70,17
8,90,41000000.0,ST,5,High,Low,81,92,78,85,34,75,80,93,81,79,88,83,77,94,67,93,76,63,29,95,76,95,24
9,90,98000000.0,CB,2,Medium,High,81,60,71,72,91,86,53,52,60,70,76,91,61,89,53,81,74,85,90,47,65,90,92
10,89,105500000.0,ST,3,High,High,68,91,83,82,47,82,80,93,82,65,84,69,68,92,71,92,83,80,44,94,87,92,50
11,89,99500000.0,LW,5,High,Medium,87,83,85,93,37,61,84,83,88,87,94,86,93,88,82,79,79,63,37,86,89,93,35
12,89,101000000.0,LW,4,High,Medium,88,89,82,86,42,69,83,91,85,74,84,90,85,91,76,88,88,62,39,91,84,89,47
13,89,86000000.0,CDM,2,Medium,High,63,73,75,72,87,90,58,64,62,74,78,66,61,87,66,88,90,91,88,75,75,84,87
14,89,85500000.0,GK,1,Medium,Medium,86,90,78,89,49,87,13,11,13,14,30,58,65,87,49,59,41,34,21,11,65,68,27
15,89,99500000.0,LM,4,High,Medium,90,83,80,88,44,77,78,86,77,64,86,90,93,91,88,83,85,75,35,90,84,84,42
16,89,88000000.0,GK,1,Medium,Medium,87,82,93,88,64,88,20,14,15,20,40,63,60,88,48,70,41,38,27,20,70,70,29
17,89,105500000.0,CDM,3,High,Medium,68,72,87,84,83,79,91,68,85,69,85,60,84,88,84,78,94,89,84,80,85,85,85
18,89,79000000.0,GK,1,Medium,Medium,86,85,85,89,54,90,17,13,19,18,40,49,40,87,37,64,32,27,11,13,66,68,15
19,89,72000000.0,CDM,2,Medium,High,72,66,74,81,87,82,68,65,49,49,81,68,78,93,92,71,95,93,91,72,77,84,90
20,88,107500000.0,CB,2,Medium,High,63,39,66,68,88,88,54,29,46,48,74,67,60,89,56,74,83,92,85,39,51,81,90
21,88,148000000.0,ST,3,High,Medium,89,91,65,80,49,87,47,94,77,62,82,94,76,88,72,94,81,85,43,89,74,85,44
22,88,103500000.0,GK,1,Medium,Medium,90,83,79,89,52,85,12,12,12,14,30,55,64,85,38,59,34,30,26,14,60,65,20
23,88,97500000.0,CAM,4,High,High,77,78,84,92,61,68,85,79,85,67,91,71,94,87,92,79,93,75,60,83,85,90,59
24,88,82500000.0,LB,4,High,Medium,85,73,85,85,81,73,88,69,87,69,87,84,79,85,78,80,91,76,82,81,85,86,81
25,88,92000000.0,CB,3,Medium,High,79,56,75,74,89,80,68,59,58,32,79,81,68,88,66,65,82,81,89,70,76,86,90
26,88,10000000.0,GK,1,Medium,Medium,89,84,75,89,54,87,11,15,21,15,30,53,60,85,61,56,39,32,22,16,68,67,28
27,88,68500000.0,GK,1,Medium,Medium,86,85,87,90,47,85,18,14,18,12,30,50,39,85,43,65,35,43,22,11,70,70,25
28,88,72000000.0,CM,3,Medium,Medium,53,81,90,81,71,68,88,77,86,84,88,52,63,90,71,89,75,60,80,76,89,88,71
